Model,Question,BatchSize,Token_Step,Token_Rank,Token_ID,Prob_B1,Mean_Prob_Runs,Std_Prob_Runs (sigma_j),Range_Prob_Runs (R_j),Logit_B1,Mean_Logit_Runs,Std_Logit_Runs,Range_Logit_Runs
gemma3,question_000,2,0,1,8291,0.9353011846542358,0.9342347979545592,0.0052986559458076,0.0166572332382202,42.25,42.02999877929688,0.1077032908797264,0.5
gemma3,question_000,2,0,2,19058,0.0597918033599853,0.0617279335856437,0.0050890753045678,0.0157064199447631,39.5,39.30999755859375,0.1374772638082504,0.75
gemma3,question_000,2,0,3,6481,0.0029768585227429,0.0024197993334382,0.0002273339632665,0.0006571647245436,36.5,36.06999588012695,0.1417744606733322,0.5
gemma3,question_000,2,0,4,818,0.0014061684487387,0.0010999925434589,4.076363620697521e-05,0.0003054868429899,35.75,35.284996032714844,0.111915148794651,0.5
gemma3,question_000,2,0,5,1018,0.0004028740222565,0.0004069154383614,2.0859428332187235e-05,0.0001124924747273,34.5,34.28999710083008,0.1044030636548996,0.5
gemma3,question_000,2,0,6,1882,7.000900222919881e-05,6.838442641310394e-05,4.681182872445788e-06,1.6447262169094756e-05,32.75,32.50499725341797,0.0788986682891845,0.5
gemma3,question_000,2,0,7,7280,3.306991493445821e-05,2.5949866540031508e-05,1.2431320328687434e-06,9.115305147133768e-06,32.0,31.537500381469727,0.0943729281425476,0.375
gemma3,question_000,2,0,8,10274,8.361383152077906e-06,7.3317578426213e-06,4.89526371438842e-07,3.66293443221366e-06,30.625,30.27249526977539,0.0817389115691185,0.5
gemma3,question_000,2,0,9,2021,2.71454382527736e-06,2.3632107968296623e-06,1.6702755090136637e-07,1.157670226348273e-06,29.5,29.13999938964844,0.0888819471001625,0.75
gemma3,question_000,2,0,10,22736,2.71454382527736e-06,2.701686753425747e-06,1.4215127919214865e-07,6.692371243843809e-07,29.5,29.27499771118164,0.0935414284467697,0.625
gemma3,question_000,2,1,1,236789,0.9999979734420776,0.99999737739563,1.316709585807985e-07,5.960464477539062e-07,39.25,39.08000183105469,0.1536229103803634,0.5
gemma3,question_000,2,1,2,563,1.9947297005273867e-06,2.525874151615426e-06,1.1140901534645309e-07,5.665522166964365e-07,26.125,26.189998626708984,0.1255985647439956,0.5
gemma3,question_000,2,1,3,236858,3.224180389338471e-08,4.0007154922250265e-08,3.047163188441004e-09,1.2945992722279698e-08,22.0,22.042499542236328,0.088776409626007,0.375
gemma3,question_000,2,1,4,659,9.237431264352836e-09,1.2677219274337403e-08,1.3654855024469723e-09,4.202945547149284e-09,20.75,20.88999938964844,0.064420498907566,0.5
gemma3,question_000,2,1,5,239111,9.237431264352836e-09,1.1409767353143252e-08,9.247900778497351e-10,3.7090854831944845e-09,20.75,20.787498474121094,0.0910013690590858,0.5
gemma3,question_000,2,1,6,692,3.8507339539251015e-09,4.747249704450951e-09,4.1112099835594046e-10,1.5461776303737904e-09,19.875,19.90999984741211,0.0708872377872467,0.25
gemma3,question_000,2,1,7,564,2.998954640176521e-09,3.299256423616725e-09,2.421358391568873e-10,1.204164989943024e-09,19.625,19.54750061035156,0.0996556505560875,0.5
gemma3,question_000,2,1,8,25080,2.998954640176521e-09,3.6871736774912725e-09,3.152291483399239e-10,1.2041641017646043e-09,19.625,19.65749931335449,0.0859142020344734,0.375
gemma3,question_000,2,1,9,236764,2.646568297848262e-09,3.305130391595412e-09,2.064281384717148e-10,1.0626706181682264e-09,19.5,19.549999237060547,0.1030776351690292,0.375
gemma3,question_000,2,1,10,236775,1.8189579842342598e-09,1.99988603455381e-09,1.3011866584200504e-10,4.559245203594741e-10,19.125,19.04750061035156,0.1114955097436904,0.375
gemma3,question_000,2,2,1,236751,1.0,1.0,0.0,0.0,42.0,42.0,0.0866025388240814,0.5
gemma3,question_000,2,2,2,236745,1.0261879540562902e-10,1.3297787870847344e-10,7.566386753254939e-12,4.66906721618976e-11,19.0,19.25749969482422,0.0766893103718757,0.625
gemma3,question_000,2,2,3,503,7.052879807956103e-11,6.992942336303543e-11,3.678371843229833e-12,2.499171702918801e-11,18.625,18.614999771118164,0.0653834789991378,0.5
